exec/worker,cores/exec,memory/exec,partitions,time(s)
1,4,6.4,2,2177.458776950836
1,4,6.4,4,771.4976913928986
1,4,6.4,8,535.7924790382385
1,4,6.4,16,418.045866727829
1,4,6.4,32,410.9056441783905
1,4,6.4,64,384.275447845459
1,4,6.4,128,389.3323051929474
1,4,6.4,256,401.51595187187195
2,2,3.2,16,438.25135588645935
2,2,3.2,32,427.05149817466736
2,2,3.2,64,418.79660534858704
2,2,3.2,128,423.7945399284363
2,2,3.2,256,452.702428817749
4,1,1.6,16,463.160751581192
4,1,1.6,32,466.5261011123657
4,1,1.6,64,428.4507918357849
4,1,1.6,128,439.4826350212097
4,1,1.6,256,498.064466714859
1,4,4.8,2,1299.7450137138367
1,4,4.8,4,766.7368531227112
1,4,4.8,8,539.3554043769836
1,4,4.8,16,427.2782554626465
1,4,4.8,32,416.68043780326843
1,4,4.8,64,390.06997752189636
1,4,4.8,128,390.4222881793976
1,4,4.8,256,400.4630300998688
